id;uuid;name;image;image_content_type;type;execution_time;preview_time;status;date;note
1;a0351e02-f12b-4e17-b5d1-14c56ff7d1f3;Division;../fake-data/blob/hipster.png;image/png;SEQUENCE;85766;30114;DONE;2021-04-02T06:00:41;open-source
2;1cee27b2-60f8-436d-9fe5-82765d9035a2;Soft Cotton;../fake-data/blob/hipster.png;image/png;SEQUENCE;43413;37874;CANCELLED;2021-04-02T01:54:41;bypassing action-items Avon
3;c72370e5-cdcd-428e-912c-7f4ee25f3862;Costa withdrawal iterate;../fake-data/blob/hipster.png;image/png;SEQUENCE;50556;62621;DONE;2021-04-02T11:24:07;orchid program initiative
4;e99851ee-12ac-4589-9c46-7d1260019bd8;Cheese Sharable;../fake-data/blob/hipster.png;image/png;SUPERSET;32606;72103;DONE;2021-04-01T20:14:06;override XML online
5;c7096722-9eb5-4c8f-a1c9-c720efc3f468;connect Licensed Account;../fake-data/blob/hipster.png;image/png;SEQUENCE;99584;13420;DONE;2021-04-02T16:20:46;Global Dollar Ergonomic
6;d75742f2-f8a9-4907-b940-50462dc06d7d;user-centric;../fake-data/blob/hipster.png;image/png;SEQUENCE;42678;56252;DONE;2021-04-02T03:18:01;Account Corporate Architect
7;d7b19598-fc0d-4ff2-91f8-5533e1bc0a32;Garden invoice Fantastic;../fake-data/blob/hipster.png;image/png;SUPERSET;68039;33714;SCHEDULED;2021-04-02T14:00:46;Outdoors Soft intranet
8;7e3e319c-7cce-4a0c-b774-b4fffcc38960;integrate sexy Realigned;../fake-data/blob/hipster.png;image/png;SUPERSET;3607;49194;SCHEDULED;2021-04-02T05:21:21;website back-end
9;397a41c6-a2bc-46f1-b38d-e18306a6896f;scale;../fake-data/blob/hipster.png;image/png;SUPERSET;21760;55177;DONE;2021-04-01T17:47:19;structure
10;93d31bce-f7be-431b-bcfe-0cb67cffb810;Concrete;../fake-data/blob/hipster.png;image/png;SUPERSET;1704;14623;SCHEDULED;2021-04-02T14:06:48;Product
